,X,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_,address,gpslat,gpslong,formattedAddress
122,578,2,3633,,Dendrochirotida,Dendrochirotida,,,594,,JAS-SAFR-309-2,Indian Ocean,South Africa,Eastern Cape Province,,"Port Elizabeth, White Sands",White Sands,NA,NA,NA,NA,,75% ethanol,,,1999,2,22,0,0,0,,,24,NA,meters,NA,,,Holothuroidea,"White+Sands,South+Africa",-34.02741,18.35561,"White Sands Street, Cape Town 7806, South Africa"
123,580,2,3634,Cucumariidae,Pseudocnella sinorbis,Pseudocnella,sinorbis,?,0,,JAS-SAFR-537,Indian Ocean,South Africa,Eastern Cape Province,,Port Elizabeth,Port Elizabeth,NA,NA,NA,NA,,75% ethanol,"Cloete, A.",,2000,3,17,0,0,0,,,75,NA,meters,NA,,963,Holothuroidea,"Port+Elizabeth,South+Africa",-33.93264,25.56995,"Port Elizabeth, South Africa"
124,601,2,3514,Synaptidae,Synaptula,Synaptula,,,594,,JAS-BEL-052,Pacific Ocean,Palau,Koror State,,Malakal Harbor,Malakal Harbor,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1995,6,20,0,0,0,reef slope,rock,1,NA,meters,NA,,,Holothuroidea,"Malakal+Harbor,Palau",7.3263889,134.4583333,"Malakal, Palau"
125,602,2,3519,Synaptidae,Opheodesoma,Opheodesoma,,,594,,JAS-BEL-079,Pacific Ocean,Palau,,,Omodes,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1995,5,1,0,0,0,seagrass flat,sand/seagrass,2,NA,meters,NA,,,Holothuroidea,Palau,7.51498,134.58252,Palau
126,603,2,3513,Synaptidae,Opheodesoma,Opheodesoma,,,594,,JAS-BEL-246,Pacific Ocean,Palau,Koror State,,Halimeda Reef,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1995,7,31,0,0,0,deep reef,rubble,30,NA,meters,NA,,,Holothuroidea,Palau,7.51498,134.58252,Palau
127,604,2,3631,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,aff.,594,,JAS-BEL-265,Pacific Ocean,Palau,Koror State,,Big Jellyfish Lake,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1995,8,22,0,0,0,Lake slope,"algae,sponges,mud",1,4,meters,NA,,,Holothuroidea,Palau,7.51498,134.58252,Palau
128,605,2,3275,Holothuriidae,Labidodemas pertinax,Labidodemas,pertinax,,594,,JAS-BEL-701,Pacific Ocean,Palau,Koror State,,Toachel Ra Kesebekuu,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1999,3,2,0,0,0,sandchannel patch reef,rock,NA,NA,,NA,,,Holothuroidea,Palau,7.51498,134.58252,Palau
129,609,2,3641,Synaptidae,Euapta godeffroyi,Euapta,godeffroyi,,0,,JAS-SAI-195,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Sugar Dock Transect,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,NA,NA,NA,NA,NA,NA,outer halodule rubble,under rocks on sand,1,NA,meters,NA,,,Holothuroidea,Northern+Mariana+Islands,15.0979,145.6739,Northern Mariana Islands
130,611,2,3772,Synaptidae,Synaptidae,Synaptidae,,,0,#CNMI#,JAS-SAI-213,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Unai-dankolo Agingan,,NA,NA,NA,NA,,95% ethanol,"Starmer, J.",,1998,10,28,0,0,0,reef flat,on Amphiroa fragilissima,0.5,NA,meters,NA,,,Holothuroidea,Northern+Mariana+Islands,15.0979,145.6739,Northern Mariana Islands
131,612,2,3456,Chiridotidae,Chiridota hawaiiensis,Chiridota,hawaiiensis,,0,,JAS-SAI-237,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Tanapag Lagoon Channel,Tanapag,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1999,4,25,0,0,0,lagoon,sand,2,3,meters,NA,,,Holothuroidea,"Tanapag,Northern+Mariana+Islands",15.2335831,145.7495044,"Tanapag, Saipan 96950, CNMI"
132,615,2,3720,Chiridotidae,Chiridota hawaiiensis,Chiridota,hawaiiensis,,592,,JAS-OEN-045,Pacific Ocean,Pitcairn Islands,Pitcairn Islands,Oeno Atoll,"NW Part of Lagoon, off Island near Pitcairners Camp",,NA,NA,NA,NA,ethanol,75% ethanol,"Starmer, J.",,1997,8,4,0,0,0,sand,under rocks,NA,NA,,NA,,,Holothuroidea,Pitcairn+Islands,-24.3764907,-128.324368,Pitcairn Islands
