,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
479,2,1837,Synaptidae,Protankyra,Protankyra,,,0,,HFIJ-001,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Lautkala Bay, Dredge Stations 2-3",Lautkala Bay,NA,NA,NA,NA,,75% ethanol,,,1985,6,24,0,0,0,,mud,15,35,meters,,,,Holothuroidea
480,2,1846,Holothuriidae,Holothuria sp. 17,Holothuria,sp. 17,,0,,HFIJ-002,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Lautkala Bay, Dredge Station 3",Lautkala Bay,NA,NA,NA,NA,,75% ethanol,,,1985,6,24,0,0,0,,mud,25,NA,meters,,,,Holothuroidea
481,2,1839,Synaptidae,Opheodesoma,Opheodesoma,,,0,,HFIJ-003B,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Off E Suva, ""cowrie Patch""",Suva,NA,NA,NA,NA,,75% ethanol,,,1985,6,30,0,0,0,,sand & rubble,0,0.2,meters,,,,Holothuroidea
483,2,1828,Holothuriidae,Holothuria edulis,Holothuria,edulis,,0,,HFIJ-005,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Off E Viti Levu, Station 3",,NA,NA,NA,NA,,75% ethanol,,,1985,7,15,0,0,0,,sand,2,NA,meters,,,,Holothuroidea
484,2,1838,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,,0,,HFIJ-007-2,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,Dravuni Island,Dravuni Island,NA,NA,NA,NA,,75% ethanol,,,NA,NA,NA,NA,NA,NA,intertidal,,NA,NA,,,,,Holothuroidea
485,2,1832,Holothuriidae,Bohadschia marmorata,Bohadschia,marmorata,,0,,HFIJ-009,Pacific Ocean,Fiji,Fiji Islands,Taveuni Island,N end of Island,,NA,NA,NA,NA,,75% ethanol,,,1985,8,2,0,0,0,,sand & turtle grass,NA,NA,,,,,Holothuroidea
487,2,1978,Synaptidae,Opheodesoma,Opheodesoma,,,594,,JAS-BEL-213,Pacific Ocean,Palau,,,near Turtle Rock,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1999,1,1,0,0,0,forereef,silty,24,NA,meters,,,,Holothuroidea
488,2,1994,Holothuriidae,Actinopyga lecanora,Actinopyga,lecanora,,594,,BFIJI-310,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Hideaway Resort, near Votua",Votua,NA,NA,NA,NA,,75% ethanol,,,1988,9,15,0,0,0,channel wall,,0,5,meters,,,,Holothuroidea
494,2,2017,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,,594,,BFIJI-372A,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"W of Malevu, 10 km E of Sigatola",Sigatoka,NA,NA,NA,NA,,75% ethanol,,,1988,7,3,0,0,0,fringing reef,under rocks,0,1.5,meters,,,,Holothuroidea
497,2,2018,Holothuriidae,Holothuria rigida,Holothuria,rigida,,594,,BFIJI-418A,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Man Friday Resort, South Coast, 80 km W of Suva Point",Man Friday Resort,NA,NA,NA,NA,,75% ethanol,,,1989,2,2,0,0,0,fringing reef,under rock in crevice,0,2,meters,,,,Holothuroidea
499,2,1725,Holothuriidae,Holothuria leucospilota,Holothuria,leucospilota,,594,,BFIJI-446,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"South Coast, 5 km W of Pacific Harbor Airport",Pacific Harbor Airport,NA,NA,NA,NA,,75% ethanol,,,1989,2,8,0,0,0,fringing reef flat,under rocks,NA,NA,,,,,Holothuroidea
506,2,1830,Holothuriidae,Bohadschia marmorata,Bohadschia,marmorata,?,594,HFIJ-020,E3,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"SW Shore, Sea Shell Cove Resort",Seashell Cove Resort,NA,NA,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1982,9,24,0,0,0,mud flat 5 m from shore,under large rock,NA,NA,,,,,Holothuroidea
507,2,1763,Stichopodidae,Stichopus,Stichopus,,,0,,GP-Loc-437,Pacific Ocean,Palau,,,"Bkul-ngeiil Islet off SW Babeldaob, Offshore",Babeldaob,NA,NA,NA,NA,80% ethanol,75% ethanol,"Paulay, G.",,1996,3,19,0,0,0,patch reef,,NA,NA,,,,not on loan,Holothuroidea
508,2,1734,Holothuriidae,Holothuria sp. 23,Holothuria,sp. 23,,0,,GP-Loc-602,Pacific Ocean,Palau,,,Site 5,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,7,24,0,0,0,rocky sand flat,,NA,NA,,,,,Holothuroidea
509,2,1982,Synaptidae,Synaptula,Synaptula,,,0,,ZZZ-088940,Pacific Ocean,Palau,,,"Arimizu Bay, Cave",,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1999,7,27,0,0,0,on cave walls,,1,2,meters,,,,Holothuroidea
510,2,1717,Holothuriidae,Holothuria albiventer,Holothuria,albiventer,,0,,ZZZ-088942,Pacific Ocean,Palau,,,Icebox Park,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,7,1,0,0,0,,under rocks,5,10,meters,,,,Holothuroidea
511,2,2023,Synaptidae,Synaptula,Synaptula,,,0,,ZZZ-088946,Pacific Ocean,Palau,,,Nemelis Drop Off,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1996,3,18,0,0,0,,,5,15,meters,,,,Holothuroidea
515,2,1920,Holothuriidae,Holothuria arenicola,Holothuria,arenicola,,0,,ZZZ-088958,Pacific Ocean,Pitcairn Islands,Pitcairn Islands,Henderson Island,Hen Beach,Hen Beach,NA,NA,NA,NA,80% isopropanol,75% ethanol,"Starmer, J.",,1997,1,1,0,0,0,on beach,,NA,NA,,,,,Holothuroidea
517,2,1862,Stichopodidae,Stichopus horrens,Stichopus,horrens,,0,,ZZZ-088979,Pacific Ocean,USA,Hawaiian Islands,Hawaii Island,Milolii,Milolii,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,2,0,0,0,tide pool,,NA,NA,,,,,Holothuroidea
528,2,1765,Holothuriidae,Actinopyga varians,Actinopyga,varians,,0,,ZZZ-088995,Pacific Ocean,USA,Hawaiian Islands,Oahu Island,"Alamoana Beach, Magic Island",Alamoana Beach,NA,NA,NA,NA,propanol,75% ethanol,"Takaoka, D.",,1999,8,28,0,0,0,,,NA,NA,,,,,Holothuroidea
531,2,1791,Holothuriidae,Holothuria insignis,Holothuria,insignis,,756,,ZZZ-088999,Pacific Ocean,Tanzania,,,"Zanzibar Island, Nungwi Village",Nungwi,NA,NA,NA,NA,95% ethanol,75% ethanol,Chris Meyer,,2000,1,21,0,0,0,,,NA,NA,,,,,Holothuroidea
536,2,1851,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,594,,ZZZ-089018,Pacific Ocean,Cook Islands,Cook Islands,Mauke island,E Shore,,NA,NA,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1982,12,7,0,0,0,fringing reef,exposed on top of rocks,NA,NA,,,,,Holothuroidea
538,2,1944,Synaptidae,Patinapta,Patinapta,,?,0,,ZZZ-089035,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Suva, Laucala Bay",Laucala,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1985,12,1,0,0,0,"intertidal, in fine sand, front of IMR",,NA,NA,,,,,Holothuroidea
539,2,1586,Holothuriidae,Holothuria,Holothuria,,,0,,ZZZ-089039,Pacific Ocean,Fiji,Fiji Islands,Taveuni Island,N Naselesele Village,Naselesele,NA,NA,NA,NA,,95% ethanol,"Paulay, G.",,1985,8,9,0,0,0,intertidal sand flat,,NA,NA,,,,,Holothuroidea
540,2,2010,Synaptidae,Euapta godeffroyi,Euapta,godeffroyi,,0,,ZZZ-089041,Pacific Ocean,USA,Hawaiian Islands,Oahu Island,Ilika,Ilika,NA,NA,NA,NA,,75% ethanol,"Takada, D.",Hand,1999,9,1,0,0,0,,,0.3,NA,meters,,,,Holothuroidea
557,2,1860,Synaptidae,Synapta maculata,Synapta,maculata,,0,,HFIJI-011A,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,S of Dravuni Village,Dravuni Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1985,7,30,0,0,0,reef,,20,NA,centimeters,,,,Holothuroidea
560,2,1831,Holothuriidae,Holothuria signata,Holothuria,signata,,0,,HMAK-013,Pacific Ocean,Cook Islands,Cook Islands,Mauke Island,Taunganui Harbor,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1984,12,12,0,0,0,,,NA,NA,,,,,Holothuroidea
573,2,2738,Synaptidae,Synaptidae,Synaptidae,,,594,,LAK-205,Pacific Ocean,Indonesia,Bali,,"Ped at Nusa Penida, off Lembongan",Lembongan,NA,NA,NA,NA,,95% ethanol,"Kirkendale, L.",,1999,12,14,0,0,0,"flat, sandy forereef interspersed with small patch",rubble and sand patches,10,25,meters,,,,Holothuroidea
