,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
3459,2,12411,Stichopodidae,Thelenota rubralineata,Thelenota,rubralineata,,963,UGI-6681,UGI-Station-31,,Northern Mariana Islands,Mariana Islands,,Catalan Bank,Northern Mariana Islands,NA,NA,NA,NA,,75% ethanol,P. J. Schupp,,NA,NA,NA,NA,NA,NA,steep slope at night,,61,NA,meters,,,,Holothuroidea
3460,2,12299,Holothuriidae,Holothuria edulis,Holothuria,edulis,,963,UGI-2347,UGI-Station-342,Pacific Ocean,Northern Mariana Islands,Mariana Islands,Maug Island,Maug,Maug,NA,NA,NA,NA,,75% ethanol,J. Doty,,1975,7,9,NA,NA,NA,,,60,NA,feet,,,,Holothuroidea
3461,2,12313,Synaptidae,Synapta maculata,Synapta,maculata,,963,UGI-2363,UGI-Station-344,,Northern Mariana Islands,Mariana Islands,Maug Island,"Maug, East Island",east island maug,NA,NA,NA,NA,,75% ethanol,J. Doty,,1975,7,10,NA,NA,NA,"lagoon side, rubble zone",,30,NA,feet,,,,Holothuroidea
3463,2,12279,Holothuriidae,Holothuria hilla,Holothuria,hilla,,963,UGI-2318,UGI-Station-345,,Northern Mariana Islands,Mariana Islands,Maug Island,"Maug, lagoon side of East Island, transect station",east island maug,NA,NA,NA,NA,,75% ethanol,J. Doty,,1975,7,10,NA,NA,NA,"on black sand, under rounded rocks ca. 0.5-1 ft di",,NA,NA,feet,,,,Holothuroidea
3464,2,12268,Stichopodidae,Stichopus chloronotus,Stichopus,chloronotus,,963,UGI-2305,UGI-Station-346,,Northern Mariana Islands,Mariana Islands,Maug Island,"Maug, New World station 22",Maug,NA,NA,NA,NA,,dry,J. Doty,,1975,10,13,NA,NA,NA,,,NA,NA,,,Alcohol evap.,,Holothuroidea
3465,2,12213,Holothuriidae,Holothuria fuscopunctata,Holothuria,fuscopunctata,,963,UGI-0201,UGI-Station-368,,Northern Mariana Islands,Mariana Islands,Pagan Island,"Pagan, N side of Sengan Penninsula",Pagan,NA,NA,NA,NA,,75% ethanol,"J. Doty, R. Rechebei",,1975,7,6,NA,NA,NA,sand bottom,,NA,NA,,,,,Holothuroidea
3467,2,12316,Synaptidae,Synapta maculata,Synapta,maculata,,963,UGI-2367,UGI-Station-388,,Northern Mariana Islands,Mariana Islands,Saipan Island,Saipan,Pagan,NA,NA,NA,NA,,75% ethanol,B. Fitial,,1966,8,4,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
3468,2,12271,Stichopodidae,Stichopus,Stichopus,,,963,UGI-2308,UGI-Station-396,,Northern Mariana Islands,Mariana Islands,Saipan Island,"Saipan, Tanapag Harbor",Tanapag,NA,NA,NA,NA,,75% ethanol,J. Doty,,1975,11,29,NA,NA,NA,"ca. 40 m seaward from range light, exposed on sand",,NA,NA,,,,,Holothuroidea
3469,2,12280,Holothuriidae,Holothuria hilla,Holothuria,hilla,,963,UGI-2319,UGI-Station-21,,Palau,Koror State,,Arakabesan Island,Arakabesan Island,NA,NA,NA,NA,,75% ethanol,S. Ohta,,1976,8,12,NA,NA,NA,"intertidal, under coral bolder",,NA,NA,,,,,Holothuroidea
3471,2,12305,Holothuriidae,Actinopyga,Actinopyga,,,963,UGI-2353,UGI-Station-334,,Palau,Koror State,,"Koror, Station Harbor",station harbor,NA,NA,NA,NA,,75% ethanol,S. Ohta,,1976,8,24,NA,NA,NA,"under coral boulder, edge of Enhalus bed",,NA,NA,,,,,Holothuroidea
3472,2,12412,Holothuriidae,Holothuria flavomaculata,Holothuria,flavomaculata,,963,UGI-6682,UGI-Station-339,,Palau,Koror State,,"Malakal Harbor, patch reef due west",Malakal Harbor,NA,NA,NA,NA,,75% ethanol,Alex Kerr,,1990,NA,NA,NA,NA,NA,sand flat at night,,6,NA,meters,,,,Holothuroidea
3473,2,12317,Holothuriidae,Holothuria flavomaculata,Holothuria,flavomaculata,,963,UGI-2368,UGI-Station-34,,Palau,Koror State,,Gerheru gairu Passage,,NA,NA,NA,NA,,75% ethanol,,,1976,8,3,NA,NA,NA,Caulerpa meadow,,0,2,meters,,,,Holothuroidea
3474,2,12308,Holothuriidae,Bohadschia vitiensis,Bohadschia,vitiensis,,963,UGI-2357,UGI-Station-340,,Palau,Koror State,,"Malakal Island, Micronesian Mariculture Demonstration Center",Malakal Island,NA,NA,NA,NA,,75% ethanol,,,1976,8,19,NA,NA,NA,in coarse sand,,NA,NA,,,,,Holothuroidea
3477,2,12291,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,,963,UGI-2333,UGI-Station-383,,Palau,Peleliu State,,"Peleliu, Bloody Beach",bloody beach Peleliu,NA,NA,NA,NA,,75% ethanol,C. Otto,,1966,8,14,NA,NA,NA,"under rock, sandy substrate",,NA,NA,,,,,Holothuroidea
3480,2,12370,Holothuriidae,Holothuria atra,Holothuria,atra,,963,UGI-5806,UGI-Station-387,,Palau,Koror State,,Rock Islands,Rock Islands,NA,NA,NA,NA,,75% ethanol,Alex Kerr,,1992,5,NA,NA,NA,NA,fringing reef,,0,2,meters,,,,Holothuroidea
3541,2,12407,Holothuriidae,Holothuria flavomaculata,Holothuria,flavomaculata,,963,UGI-6677,UGI-Station-337,,USA,Hawaii,Makah,Makah,Makah,NA,NA,NA,NA,75% ethanol,75% ethanol,Lisa Kirkendale,,1997,6,22,NA,NA,NA,,,5,NA,meters,,,,Holothuroidea
3610,2,12109,Stichopodidae,Thelenota ananas,Thelenota,ananas,,954,BDJRS-0588,DJRS-031,Indian Ocean,Saudi Arabia,,,Thuwal,Thuwal,NA,NA,NA,NA,,95% ethanol,Gustav Paulay,,2012,10,6,NA,NA,NA,seaward reef slope & front of shelf reef,,3,11,meters,,,,Holothuroidea
3614,2,12140,Holothuriidae,Holothuria nobilis,Holothuria,nobilis,,954,BDJRS-0717,DJRS-034,Indian Ocean,Saudi Arabia,,,"Thuwal, Al-Fahal reef",Thuwal,NA,NA,NA,NA,75% ethanol,75% ethanol,Gustav Paulay,,2012,10,8,NA,NA,NA,seaward reef slope & front of shelf reef,,1,37,meters,,,,Holothuroidea
3664,2,12717,Holothuriidae,Holothuria mexicana,Holothuria,mexicana,,913,,Brown-1965-07,,Puerto Rico,,,La Parguera,La Parguera,NA,NA,NA,NA,,75% ethanol,Bryce C. Brown,,1965,7,NA,0,0,0,,,NA,NA,,,,,Holothuroidea
3666,2,12716,Holothuriidae,Holothuria mexicana,Holothuria,mexicana,,913,,Brown-1973-07-31,North America,Mexico,Yucatan,,Celestún,Celestún,NA,NA,NA,NA,,75% ethanol,Bryce C. Brown et al.,,1973,7,31,0,0,0,,,NA,NA,,,,,Holothuroidea
3667,2,12715,Holothuriidae,Holothuria mexicana,Holothuria,mexicana,,913,,Brown-1973-08-06,North America,Mexico,Quintano Roo,,Puerto Juarez,Puerto Juarez,NA,NA,NA,NA,,75% ethanol,Bryce C. Brown et al.,,1973,8,6,0,0,0,,,NA,NA,,,,,Holothuroidea
3743,2,12638,Stichopodidae,Stichopus chloronotus,Stichopus,chloronotus,,NA,,Eldredge-1979-06-1,Pacific Ocean,Micronesia,Kosrae Island,Kosrae Island,"Okat , Northern Hole",Okat,NA,NA,NA,NA,,75% Ethanol,L. Eldredge,,1979,6,1,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
3749,2,12612,Holothuriidae,Bohadschia vitiensis,Bohadschia,vitiensis,,NA,,Kropp-1979-05-24,Pacific Ocean,Micronesia,Kosrae Island,Kosrae Island,"Okat , Okat Reef flat, shallow south end",Okat,NA,NA,NA,NA,,75% Ethanol,R. K. Kropp,,1979,5,24,NA,NA,NA,reef flat,,NA,NA,,,,,Holothuroidea
3750,2,12657,Synaptidae,Euapta godeffroyi,Euapta,godeffroyi,,NA,,Kropp-1979-05-25,Pacific Ocean,Micronesia,Kosrae Island,Kosrae Island,Okat,Okat,NA,NA,NA,NA,,75% Ethanol,"Lucius Eldredge, Roy Kropp",,1979,5,25,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
3751,2,12658,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,,NA,,Kropp-1979-05-26a,Pacific Ocean,Micronesia,Kosrae Island,Kosrae Island,"Okat, transect 6",Okat,NA,NA,NA,NA,,75% Ethanol,R. K. Kropp,,1979,5,26,NA,NA,NA,,,48,NA,meters,,,,Holothuroidea
3754,2,12652,Holothuriidae,Holothuria edulis,Holothuria,edulis,,NA,,Kropp-1979-05-26b,Pacific Ocean,Micronesia,Kosrae Island,Kosrae Island,"Okat, transect 5",Okat,NA,NA,NA,NA,,75% Ethanol,R. K. Kropp,,1979,5,26,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
3757,2,12611,Holothuriidae,Holothuria coluber,Holothuria,coluber,,NA,,Paulay-1996-03-14,Pacific Ocean,Palau,,,Nikko/Iwayana Bay,Nikko Bay,NA,NA,NA,NA,,75% Ethanol,Gustav Paulay,,1996,3,14,NA,NA,NA,"seagrass/ coral flat, 1m near shore",,1,NA,meters,,"tail tucked under rock, dark body with pair yellow tipped papillae, body tough and grity",,Holothuroidea
3768,2,12627,Holothuriidae,Holothuria edulis,Holothuria,edulis,,NA,,UGI-1993-5,Pacific Ocean,Marshall Islands,Majuro Atoll,Majuro Atoll,lagoon,,NA,NA,NA,NA,,75% Ethanol,,,1993,5,NA,NA,NA,NA,"lagoon reef , on silty sand",,4,NA,meters,,,,Holothuroidea
3769,2,13373,Holothuriidae,Actinopyga varians,Actinopyga,varians,,903,AUST-6597,HI09-000,Pacific Ocean,Australia,Queensland,,Heron Island,Heron Island,NA,NA,NA,NA,,75% ethanol,François Michonneau,,2009,11,NA,0,0,NA,,,NA,NA,,,"field number in jar matches to slipper lobster in spreadsheet, numbers mixed during packing?",,Holothuroidea
3774,2,12550,Holothuriidae,Labidodemas pertinax,Labidodemas,pertinax,?,NA,,JAS-SAI-130,Pacific Ocean,Northern Mariana Islands,,Saipan Island,outside Grand hotel,Grand Hotel,NA,NA,NA,NA,,75% ethanol,,,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
3777,2,12618,Holothuriidae,Holothuria atra,Holothuria,atra,aff.,NA,,PAG-12,Pacific Ocean,Northern Mariana Islands,Mariana Islands,Pagan Island,NW of island,Pagan,NA,NA,NA,NA,,75% ethanol,John Starmer,,2007,6,5,NA,NA,NA,,,41,60,feet,,,,Holothuroidea
3782,2,12521,Holothuriidae,Bohadschia ocellata,Bohadschia,ocellata,,NA,,Starmer-2011-07-06,,Northern Mariana Islands,,Saipan Island,"Laolao Bay, N side of bay",Magicienne Bay,NA,NA,NA,NA,,75% ethanol,,,2011,7,6,NA,NA,NA,forereef,,30,40,meters,,,,Holothuroidea
3783,2,12588,Holothuriidae,Labidodemas pertinax,Labidodemas,pertinax,?,NA,,Starmer-Chulu,,Northern Mariana Islands,,Tinian Island,Unai Chulu,,NA,NA,NA,NA,,75% ethanol,John Starmer,,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
3787,2,12909,Holothuriidae,Actinopyga echinites,Actinopyga,echinites,,NA,,Starmer-Kaneohe,,USA,Hawaii,Oahu,Kaneohe,Kaneohe,NA,NA,NA,NA,,75% ethanol,,,2006,8,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
3793,2,12552,Stichopodidae,Stichopus,Stichopus,,,NA,,Starmer-Pau Pau,,Northern Mariana Islands,,Saipan Island,Pau Pau Beach,Pau Pau Beach,NA,NA,NA,NA,,75% ethanol,,,2006,7,7,NA,NA,NA,Acropora,,NA,NA,,,,,Holothuroidea
3796,2,12563,Synaptidae,Euapta godeffroyi,Euapta,godeffroyi,,NA,,Starmer-Wing,,Northern Mariana Islands,,Saipan Island,Wing Beach,Wing Beach,NA,NA,NA,NA,,75% ethanol,,,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
3818,2,13242,Holothuriidae,Holothuria whitmaei,Holothuria,whitmaei,,NA,TUG-763,Andrefouet-Rangiroa,,French Polynesia,Tuamotu Archipelago,,Rangiroa Atoll,Rangiroa Atoll,NA,NA,NA,NA,95% ethanol,95% ethanol,Serge Andrefouet,,2013,NA,NA,NA,NA,NA,,,NA,NA,,,black,,Holothuroidea
3834,2,13331,Holothuriidae,Bohadschia marmorata,Bohadschia,marmorata,,982,ID#37,Clouse-2002-Temwen,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Pohnpei Island,around Temwen Island,Temwen Island,NA,NA,NA,NA,,75% ethanol,"Ron Clouse, Daniel Janies",,2002,12,3,NA,NA,NA,"in sea grass and Halimeda, near mangrove",,NA,NA,,,Dna extracted on 8-jan-03 jk,,Holothuroidea
3851,2,13366,Holothuriidae,Actinopyga,Actinopyga,,,982,ID#04,Clouse-2002-Manguuy,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Yap Island,"Manguuy Bay, near causeway between Maap and Tomil-Gagil islands","9° 34.596', 138° 10.172'",NA,NA,NA,NA,,75% ethanol,"Ron Clouse, Daniel Janies",,2002,11,25,NA,NA,NA,sandy bottom  w/ occasional Halimeda and sea grass,near mangroves,1,NA,meter,,,,Holothuroidea
3864,2,13352,Stichopodidae,Stichopus herrmanni,Stichopus,herrmanni,,982,ID#23,Clouse-2002-Chuuk,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Chuuk Island,Lagoon near WWII wrecks,,NA,NA,NA,NA,,75% ethanol,"Ron Clouse, Daniel Janies",,2002,12,1,NA,NA,NA,,on sandy slope,40,NA,feet,,Alex Kerr det Id from photo.,,Holothuroidea
3870,2,13356,Holothuriidae,Holothuria,Holothuria,,,982,ID#20,Clouse-2002-Wanyan,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Yap Island,Wanyan,,NA,NA,NA,NA,,75% ethanol,Ron Clouse,,2002,11,28,NA,NA,NA,on outer reef flat,"under exposed coral rubble, at low tide",NA,NA,,,,,Holothuroidea
3880,2,13351,Holothuriidae,Holothuria roseomaculata,Holothuria,roseomaculata,,982,ID#22,Clouse-2002-Weno,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Chuuk Island,Weno,Weno,NA,NA,NA,NA,,75% ethanol,"Ron Clouse, Daniel Janies",,2002,11,29,NA,NA,NA,,washed up on beach at blue lagoon resort,3,NA,meters,,Alex Kerr det Id from photo.,,Holothuroidea
3881,2,13371,Holothuriidae,Actinopyga,Actinopyga,,,937,,Kerr-026,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Yap Island,Yap,,NA,NA,NA,NA,,75% ethanol,,,NA,NA,NA,NA,NA,NA,seagrass flat,,NA,NA,,,"Yap box, no label with specimens",,Holothuroidea
3882,2,11292,Holothuriidae,Holothuria edulis,Holothuria,edulis,,937,AMK-GU-023,Kerr-027,Pacific Ocean,USA,Mariana Islands,Guam Island,Tumon Bay,Tumon Bay,NA,NA,NA,NA,denatured 95% ethanol,75% ethanol,Jim Pinson,,2011,8,25,0,0,0,,,10,NA,meters,,"gray form, subsample of tentacle; station info different than spreadsheet",,Holothuroidea
3979,2,13562,Stichopodidae,Stichopus horrens,Stichopus,horrens,cf.,973,BDJRS-2646,SAFA-000,Red Sea,Saudi Arabia,,,needs data do not put away,,NA,NA,NA,NA,80% ethanol,75% ethanol,,,2013,3,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
3980,2,13419,Holothuriidae,Holothuria atra,Holothuria,atra,,883,,Anker-Egypt-Dahab,,Egypt,,,Dahab,dahab,NA,NA,NA,NA,,75% ethanol,Arthur Anker,,2009,9,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
3982,2,13421,Holothuriidae,Bohadschia,Bohadschia,,,883,,Anker-Egypt-SomaBay,,Egypt,,,Soma Bay,Soma Bay,NA,NA,NA,NA,,75% ethanol,Arthur Anker,,2009,9,NA,0,0,NA,,,NA,NA,,,voucher is only a small piece,,Holothuroidea
4005,2,13681,Sclerodactylidae,Afrocucumis africana,Afrocucumis,africana,,NA,SS-894,SW44,,Singapore,,,"St John's Island, rocky shore",St. John Island,NA,NA,NA,NA,,75% ethanol,"Ria Tan, Shane Timothy Lum Ahyong, James Kenneth Lowry",Hand collection,2013,5,23,NA,NA,NA,rocky shore,,0,NA,meters,,,,Holothuroidea
4013,2,13688,Holothuriidae,Actinopyga lecanora,Actinopyga,lecanora,aff.,NA,SS-934,IT82,,Singapore,,,Beting Bemban Besar,Beting Bemban Besar,NA,NA,NA,NA,,75% ethanol,"Koh Kwan Siong, Gan Da, Daphne Gail Fautin, Ria Tan, Ren Yong, Ivan Kwan, Paul Ng, Toh Hii, Lay Peng",Hand collection,2013,5,26,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
4020,2,13715,Holothuriidae,Holothuria leucospilota,Holothuria,leucospilota,,NA,NS-5086,IT95,,Singapore,,,Raffles Light House,,NA,NA,NA,NA,,75% ethanol,"Tan Chia Sing, Tay Teresa Stephanie, David John William Lane, Daphne Gail Fautin, Ria Tan, Arthur Anker, Nathaniel Evan, Sammy Benny Jacky De Grave, Kenny Chua Wei Jie, Zee, Niel B, Bee Yan",Hand collection,2013,5,28,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
4031,2,13705,Synaptidae,Synaptidae,Synaptidae,,,NA,SS-4064,SD133,,Singapore,,,"Kusu Island, south",Kusu Island,NA,NA,NA,NA,,75% ethanol,"Tan Heok Hui, Zarina, Zeehan Jaafar, Debby Ng, Collin, Sammy Benny Jacky De Grave, Lin Chia-wei, Daisuke Uyeno, Mark Tan",Hand collection (scuba diving),2013,5,31,NA,NA,NA,,,11,NA,meters,,,,Holothuroidea
4035,2,13716,Cucumariidae,Colochirus quadrangularis,Colochirus,quadrangularis,,NA,NS-5087,SD145,,Singapore,,,"Pulau Hantu, west",Pulau Hantu,NA,NA,NA,NA,,75% ethanol,"Tan Heok Hui, Debby, Zarina, Zeehan Jaafar, Collin, Mark Tan, Sammy Benny Jacky De Grave, Lin Chia-wei, Daisuke Uyeno, Charles Garrette Messing",Hand collection (scuba diving),2013,6,1,NA,NA,NA,,,11.7,NA,meters,,,,Holothuroidea
4039,2,13951,Holothuriidae,Actinopyga varians,Actinopyga,varians,,936,MARQ-0248,MQ000,,French Polynesia,Marquesas Islands,,Marquesas,,NA,NA,NA,NA,,75% ethanol,"Nathaniel Evans, Serge Andrefouet, Francesca Benzoni, Jean-Louis Menou, Marco Olivirio, Claude Payri",hand collected,2012,11,21,0,0,19,,,1,45,meters,,has the MARQ-0248 field label inside but does not match the data for that number (Cerianthidae); previously miscataloged as Cnidaria 7843,,Holothuroidea
4040,2,13966,Synaptidae,Leptosynapta,Leptosynapta,,,1003,,Moore-CA-01,Pacific Ocean,USA,California,,"San Diego, Fiesta Island","Fiesta Island, San Diego",NA,NA,NA,NA,75% ethanol,75% ethanol,"Jenna Moore, Kelly Dorgan",,2013,3,NA,0,0,NA,,in sand,NA,NA,,,one whole animal as DNA,,Holothuroidea
4041,2,14009,Holothuriidae,Labidodemas rugosum,Labidodemas,rugosum,,963,UGI-2383,UGI-1966-08-14,,Palau,Peleliu Island,,Bloody Beach,Bloody beach Peleliu,NA,NA,NA,NA,,dry,,,1966,8,14,NA,NA,NA,,"under rocks, sandy substrate",NA,NA,,,,,Holothuroidea
4042,2,14007,Holothuriidae,Holothuria roseomaculata,Holothuria,roseomaculata,,963,UGI-2408,UGI-1977-07-09,,USA,Mariana Island,,"Yap, Tomil Harbor",Chamorro Bay,NA,NA,NA,NA,,75% ethanol,D. A. Grosenbaugh,,1977,7,9,NA,NA,NA,on a patch reef,,2,NA,meters,,,,Holothuroidea
4043,2,14005,Holothuriidae,Holothuria atra,Holothuria,atra,,963,UGI-3061,UGI-1978-03-24,,Micronesia,Yap State,,Ulithi Atoll,Ulithi Atoll,NA,NA,NA,NA,,75% ethanol,Barry Smith,,1978,3,24,NA,NA,NA,on reef flat,,NA,NA,,,,,Holothuroidea
4045,2,14013,Holothuriidae,Bohadschia ocellata,Bohadschia,ocellata,cf.,NA,,ZZZ-094679,Pacific Ocean,Philippines,Visayan Islands,,Binabayanas,,NA,NA,NA,NA,,95% ethanol,M. F. J. Nievales,,2013,NA,NA,0,NA,NA,,,NA,NA,,,,,Holothuroidea
