,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
62,2,7113,Holothuriidae,Actinopyga obesa,Actinopyga,obesa,,800,,ZZZ-073307,,USA,Hawaiian Islands,Oahu Island,Kaneohe Bay,21.4389123,-158.0000565,NA,NA,,75% ethanol,Sea McKeon,,2008,7,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
63,2,7114,Synaptidae,Opheodesoma spectabilis,Opheodesoma,spectabilis,,800,,ZZZ-073307,,USA,Hawaiian Islands,Oahu Island,Kaneohe Bay,21.4389123,-158.0000565,NA,NA,,75% ethanol,Sea McKeon,,2008,7,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
64,2,6875,Holothuriidae,Holothuria cinerascens,Holothuria,cinerascens,,800,,ZZZ-073307,,USA,Hawaiian Islands,Oahu Island,Kaneohe Bay,21.4389123,-158.0000565,NA,NA,,75% ethanol,Sea McKeon,,2008,7,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
65,2,13264,Holothuriidae,Holothuria edulis,Holothuria,edulis,aff.,NA,,ZZZ-076087,,Republic of the Marshall Islands,Marshall Islands,Majuro Atoll,Majuro,7.0921515,171.3825582,NA,NA,ethanol,75% ethanol,John Starmer,,2012,NA,NA,0,NA,NA,,,NA,NA,,,,,Holothuroidea
66,2,1748,Holothuriidae,Holothuria,Holothuria,,,0,,BNEC-006,Pacific Ocean,New Caledonia,New Caledonia,,"0.5 km N of Passe de Boulari, near Noumea",-22.2758,166.458,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,13,0,0,0,outer reef slope,under rocks,8,18,meters,,,,Holothuroidea
67,2,2002,Holothuriidae,Holothuria,Holothuria,,,0,,BNEC-008,Pacific Ocean,New Caledonia,New Caledonia,,"N side of Passe de Boulari, near Noumea",-22.2758,166.458,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,14,0,0,0,"patch reef, shoal",under rocks,2,14,meters,,,,Holothuroidea
68,2,975,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,cf.,0,,BNEC-009,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Ile Nou, Anse Kuendo",-22.2333333,166.3833333,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,26,0,0,0,"sand and reef slope, fringing rock",under rocks,0,3,meters,,,,Holothuroidea
69,2,2022,Sclerodactylidae,Afrocucumis africana,Afrocucumis,africana,,594,,BNEC-010,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, SE tip, SE of Mount Toro",-22.3050925,166.4544711,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,25,0,0,0,fringing reef flat and slope,under rocks,0,3,meters,,,,Holothuroidea
70,2,1746,Holothuriidae,Holothuria,Holothuria,,,594,,BNEC-010,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, SE tip, SE of Mount Toro",-22.3050925,166.4544711,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,22,0,0,0,fringing reef flat and slope,under rocks,0,3,meters,,,,Holothuroidea
71,2,1952,Chiridotidae,Polycheira rufescens,Polycheira,rufescens,,594,,BNEC-012,Pacific Ocean,New Caledonia,New Caledonia,,"Baie de Prony, at Prony",-22.3596367,166.854799,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,29,0,0,0,intertidal,under rocks,NA,NA,,,,,Holothuroidea
