Counter,InCukes,Order-current,Family-current,Subfamily,Genus-orig,Subgenus-orig,Species-orig,Region: type,other regions,Not Description,Author,Year,ref,Genus-current,Subgenus-current,species-current,ESU,Comment on sp,ZooBank LSID,Available?,Valid?,Status (WoRMS),UnacceptedReason,InUse,Have/seq'd,Known from,NotValidorAvailRef,ValRef,synonymy by,generic reassignement,other refs,Have description?,Checked?,Notes-keep,Notes,pp.,fig.,type loc,Depth,Depth_2,unit,Type type,Repository,Cat No,type notes,Museum,Type of type,Catalog number,Source,Range,RangeSource,Depthrange1,Depthrange2,Depthunits,Depthsource,Smiley_old_AuthorityAndDate,Notes: ,"from Smiley-Pawson, extracted automatically by Alex 2006, getting edited by me in temporal order"
1270,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,trita,WA,,,Sluiter,1910,1910a,Euthyonidiella,,trita,,,,yes,yes,accepted,,yes,,,,Pawson et al 2009a,,"Pawson & Pawson, 2008",,pdf,yes,"previously (Deichmann, 1954a) as Neophyllophorus)",,339-340,fig E a-c,"Tortugas, Bird Key Riff",,,,holotype,,,,,,,,,,,,,,"Sluiter, 1910",,
1621,yes,Dendrochirotida,Sclerodactylidae,,Phyllophorus,,tungshanensis,IWP,,,Yang,1937,1937a,Euthyonidiella,,tungshanensis,,,,yes,yes,accepted,,yes,,,,"Liao, 1997a",,"Liao & Clark, 1995a",,pdf,yes,,,18-19,textfig 10,"Tung-shan, South Fukien, China",,,,holotype,"Zoological Museum, Department of Biology, University of Amoy, Amoy, China",,,,,,,,,,,,,,,
1667,yes,Dendrochirotida,Sclerodactylidae,,Phyllophorus,,zacae,EP,,,Deichmann,1938,1938a,Euthyonidiella,,zacae,,,,yes,yes,accepted,,,,,,"Heding & Panning, 1954",,"Heding & Panning, 1954",,pdf,yes,,,381-382,text fig. 13,"Tangola Tangola Bay, Mexico",10,,fathoms,holotype,MCZ,MCZ 1957,type seen (GP V.2011),MCZ,holotype,1957,,,,,,,,"Deichmann, 1938",,
1820,yes,Dendrochirotida,Sclerodactylidae,,Sphaerella,,argus,IWP,,,Heding & Panning,1954,1954a,Globosita,,argus,,,,yes,yes,accepted,,,,,,,,Cherbonnier 1958e,,xerox,yes,,,111-112,fig 41,"Java Sea, outside Edam",32,,meters,holotype,,,,,,,,,,,,,,"Heding & Panning, 1954",,
611,yes,Dendrochirotida,Sclerodactylidae,,Phyllophorus,,dobsoni,WA,,,Bell,1883,1883a,Globosita,,dobsoni,,,,yes,yes,accepted,,,,,,"Heding & Pannin, 1954",,Cherbonnier 1958e,,xerox,yes,,,60-61,"pl XV, fig 5, 5a, 5b",Bay of Honduras,,,,holotype,,,,,,,,,,,,,,"Bell, 1883",,
2150,yes,Dendrochirotida,Sclerodactylidae,,Globosita,,murrea,IWP,,,Cherbonnier,1988,1988a,Globosita,,murrea,,,,yes,yes,accepted,,,,,,post 1980,,,,"pdf, scan",yes,,,214-215,fig 93 a-n,"Madagascar, Tulear",,,,holotype,MNHN,,,,,,,,,,,,,,,
1213,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,ardens,IWP,,,Koehler & Vaney,1908,1908a,Havelockia,,ardens,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,31-33,"pl. II, Fig. 24-25, pl. III, Fig. 1-3","Cotes de Orissa, 25 fm",,,,,,"Holotype in Indian Museum, Calcutta",Holotype (by inference),,,,,,,,,,,"Koehler & Vaney, 1908",,
1214,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,ariana,IWP,,,Koehler & Vaney,1908,1908a,Havelockia,,ariana,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,33-34,"pl. II, Fig. 20-23","Investigator Sta. 246, 68-148 fm",,,,,,"Holotype in Indian Museum, Calcutta",Holotype (by inference),,,,,,,,,,,"Koehler & Vaney, 1908",,
2484,no,Dendrochirotida,Sclerodactylidae,,Havelockia,,benti,WA-S,,,"Martinez, Thandar & Penchaszadeh",2013,2013a,Havelockia,,benti,,,,yes,yes,accepted,,yes,,,,post 2010,,,,pdf,yes,,,584-587,"figs. 1,2","Villarino, Golfo San José, Chubut Province (Sep. 2006), (42°25’S–64°31’W)",10,10,m,holotype,MACN-In,39019,,,,,,Argentina,Martinez et al 2013a,10,48,m,Martinez et al 2013a,,,
979,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,conciliatrix,IWP,,,Sluiter,1901,1901a,Havelockia,,conciliatrix,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,89-90,"pl. 7, fig. 12","Siboga St. 217, Insel Jedan",13,,m,syntypes,,,3 specimens,Zoologisch Museum Amsterdam,syntypes,ZMA.E1104,"Jangous, 1991",,,,,,,"Sluiter, 1901",,
1843,yes,Dendrochirotida,Sclerodactylidae,,Havelockia,,exigua,EA,,,Cherbonnier,1958,1958b,Havelockia,,exigua,,,,yes,yes,accepted,,,,,,,,,,xerox,yes,,"dated 1957 in S&P, but 1958 in paper",195-197,fig 9 a-q,"Sierra Leone, Sierra Leone River, station D.8",25,,meters,holotype,,,,,,,,,,,,,,"Cherbonnier, 1957",,
981,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,falcata,IWP,,,Sluiter,1901,1901a,Havelockia,,falcata,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,91,"pl. 8, fig. 13","Siboga St. 51, Molo Straights",69,91,m,holotype,,,1 specimen,Zoologisch Museum Amsterdam,holotype,ZMA.E1119,"Jangoux, 1991",,,,,,,"Sluiter, 1901",,
982,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,fastigata,IWP,,,Sluiter,1901,1901a,Havelockia,,fastigata,,,,yes,yes,accepted,,,n/y,,,,,Panning 1949 according to Jangoux 1991,,pdf,yes,,,86,"pl. 7, fig. 9","Siboga St. 51, Molo-Strasse; Sta. 318: 6o36.5'S, 114o55.5'W",69,91,m,syntypes,,,2 specimens,Zoologisch Museum Amsterdam,syntypes,"ZMA.E1108, ZMA.E1113","Jangoux, 1991",,,,,,,"Sluiter, 1901",,
2151,yes,Dendrochirotida,Sclerodactylidae,,Havelockia,,ferali,IWP,,,Cherbonnier,1988,1988a,Havelockia,,ferali,,,,yes,yes,accepted,,,,,,post 1980,,,,"pdf, scan",yes,,,183-184,fig 78 a-m,"Madagascar, Tulear",,,,holotype,MNHN,,,,,,,,,,,,,,,
1226,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,festina,IWP,,,Koehler & Vaney,1908,1908a,Havelockia,,festina,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,41-43,"pl. III, Fig. 4-8","27o5'12""N, 50o55'20""E, 39 fm",,,,,,"Holotype in Indian Museum, Calcutta",Holotype (by inference),,,,,,,,,,,"Koehler & Vaney, 1908",,
1844,yes,Dendrochirotida,Sclerodactylidae,,Havelockia,,guttata,EA,,,Cherbonnier,1958,1958b,Havelockia,,guttata,,,,yes,yes,accepted,,,,,,,,,,xerox,yes,,"dated 1957 in S&P, but 1958 in paper",193-196,fig 8 a-q,"Sierra Leone, Cape Saint Anne, station MB.4/A.2",56,,meters,holotype,,,,,,,,,,,,,,"Cherbonnier, 1957",,
1259,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,imbellis,IWP,,,Koehler & Vaney,1910,1910a,Havelockia,,imbellis,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,97-98,"pl iii, fig 2-5","Station 355, 21°49'50""N 59°48'E",492,,fathoms,holotype,,,,,,,,,,,,,,"Koehler & Vaney, 1910",,
2284,yes,Dendrochirotida,Sclerodactylidae,,Pentathyone,,kojinensis,WP-N,,,Won & Rho,1998,1998a,Havelockia,,kojinensis,,,,yes,yes,accepted,,,,,,,,herein,,pdf,yes,generic reassignment based on synonymy of Pentathyone with Havelockia,"check up on Pentathyone - but supposed to be Havelockia, in which case species needs transfer","13, 15-16",figs. 5A-H,"Korea, East Sea, Kojin",,,,holotype,CPH or SPH?,SPH 801101,"collection is SPH for one, CPH for the second species described in paper; one must be in error",,,,,,,,,,,,,
1871,yes,Dendrochirotida,Sclerodactylidae,,Pentathyone(?),,novacorona,IWP,,,Cherbonnier,1961,1961a,Havelockia,,novacorona,,,,yes,yes,accepted,,,,,,,,Clark & Rowe 1971a,,pdf,yes,,,429-430,"fig 2, c-h; fig 3; fig 4 a","Station 266, 12°8'N 109°13'30""E",14,,meters,holotype,,,,,,,,,,,,,,"Cherbonnier, 1960",,
1286,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,nozawai,WP-N,,,Mitsukuri,1912,1912a,Havelockia,,nozawai,,,,yes,yes,accepted,,,,,,,,,,xerox,yes,,misspelled in S&P as nozowai,249-251,"pl 1, fig 12; text fig 50","Ishizaki, Prov. Oshima, Hokkaido",,,,holotype,TIU,,type listed by Inoue et al 2012a,,,,,,,,,,,"Mitsukuri, 1912",,
636,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,obunca,WP-N,,,Lampert,1885,1885a,Havelockia,,obunca,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,250,fig 55,Hakodato,,,,,Kopenh. Mus.,,,,,,,,,,,,,"Lampert, 1885",,
1261,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,perdita,IWP,,,Koehler & Vaney,1910,1910a,Havelockia,,perdita,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,99-100,"pl iii, fig 6-9","Station 356, 17°59'N 57°22'30""E",156,200,fathoms,syntypes,,,,,,,,,,,,,,"Koehler & Vaney, 1910",,
1036,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,pituitosa,IWP,,,Sluiter,1901,1901a,Havelockia,,pituitosa,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,94-95,"pl. 6, fig. 7","Siboga St. 254, 5o40'S, 132o26'E",310,,m,holotype,,,1 specimen,Zoologisch Museum Amsterdam,holotype,ZMA.E1093,"Jangoux, 1991",,,,,,,"Sluiter, 1901",,
986,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,redimita,IWP,,,Sluiter,1901,1901a,Havelockia,,redimita,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,90-91,"pl. 8, fig. 1","Siboga St. 289, 9o0.3'S, 126o24.5'E",112,,m,syntypes,,,2 specimens,,,,,,,,,,,"Sluiter, 1901",,
434,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,scabra,WA-N,,,Verrill,1873,1873b,Havelockia,,scabra,,,,yes,yes,accepted,,yes,,,,Pawson et al 2009a,,Panning 1949a,,pdf,yes,,,100-101,,near St. George's Bank,110,150,fathoms,,,,,USNM,holotype,30315,,,,,,,,"Verrill, 1873",,
1238,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,secunda,Antarctic,,,Vaney,1908,1908a,Havelockia,,secunda,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,298-299,,Baie de la Scotia,9,10,fathoms,,,,,,,,,,,,,,,"Vaney, 1908",,
1141,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,transitoria,IWP,,,Vaney,1905,1905a,Havelockia,,transitoria,,,,yes,yes,accepted,,,,,,,,Clark & Rowe 1971a,,pdf,yes,,,187-188,,Iles Musha; Grande Recif - Somalia,50,,m,syntypes,,,,,,,,,,,,,,"Vaney, 1912",,
2152,yes,Dendrochirotida,Sclerodactylidae,,Havelockia,,turrispinea,IWP,,,Cherbonnier,1988,1988a,Havelockia,,turrispinea,,,,yes,yes,accepted,,,,,,post 1980,,,,"pdf, scan",yes,,,184-186,fig 79 a-o,"Mayotte Island, N of Dzaoudzi",,,,holotype,MNHN,,,,,,,,,,,,,,,
1328,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,uniannulata,IWP,,,Sluiter,1914,1914a,Havelockia,,uniannulata,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,10-11,fig 3 a-b,6°19' S.B. 110°50' OL,50,,m,holotype,,,,Zoologisch Museum Amsterdam,holotype,ZMA.E2194,"Jangoux, 1991",,,,,,,,,
1329,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,van Kampeni,IWP,,,Sluiter,1914,1914a,Havelockia,,vankampeni,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,8-10,fig 2 a-c,6°8' SB. 108°16' OL.; 4°25' SB. 114°31' OL.,20,35,meters,syntypes,,,,Zoologisch Museum Amsterdam,syntypes,"ZMA.E2192, ZMA.E2193","Jangoux, 1991",,,,,,,,,
1609,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,venustella,SAfr,,,Ludwig & Heding,1935,1935a,Havelockia,,venustella,,,,yes,yes,accepted,,,,,,,,Thandar 1989a,,xerox,yes,,"generic assignment from Thandar 2008, previously in Havelockia by Thandar 1989",203-204,"pl II, fig 15-20","S Africa, Agulhas Bank, WCP, 35°16'S 22°26'E, Station 104",155,,m,syntypes,"""Perhaps in Bonn, Germany"" - Thandar 2008",,,,,,,,,,,,,"Ludwig & Heding, 1935",,
328,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,versicolor,IWP,,,Semper,1867,1868a,Havelockia,,versicolor,,,,yes,yes,accepted,,yes,,,,Rowe & Gates 1995a,,,,xerox,yes,,,49-50,"pl 12, fig 4; pl 13, fig 11; pl 14, fig 8","Bohol, Canal von Lapinig",6,10,fathoms,,ZSM,,see Jangoux et al 1987a,Munich Museum,syntype,65/1,"Jangoux et al., 1987",,,,,,,"Semper, 1868",,
488,no,Dendrochirotida,Sclerodactylidae,,Thyone,Stolus,mirabilis,IWP,,,Ludwig,1875,1875a,Havelockia,,versicolor,,,,yes,no,unaccepted,,no,,,,,"James, 1976a according to Rowe & Gates 1995a",,,"pdf, xerox",yes,,,93,fig 18,"Bowen, Australia",,,,holotype,,,,,,,,,,,,,,"Ludwig, 1874",,
1052,no,Dendrochirotida,Sclerodactylidae,,Havelockia,,herdmani,IWP,,,Pearson,1903,1903a,Havelockia,,versicolor,,,,yes,no,unaccepted,,no,,,,,"James, 1976a according to Rowe & Gates 1995a",,,pdf,yes,,,197-198,"pl II, fig 31-35","Stn. LIV, Ceylon, South of Adam's Bridge",4,40,fm,holotype,,,,,,,,,,,,,,"Pearson, 1903",,
1055,no,Dendrochirotida,Sclerodactylidae,,Thyone (?),,calcarea,IWP,,,Pearson,1903,1903a,Havelockia,,versicolor,,,,yes,no,unaccepted,,no,,,,,"James, 1976a according to Rowe & Gates 1995a",,,pdf,yes,,,194,"pl I, fig 17-20","Stn. XXVII, Ceylon, Cod Bay, Trincomalee",6,,fm,holotype,,,,,,,,,,,,,,"Pearson, 1903",,
1388,no,Dendrochirotida,Sclerodactylidae,,Cucumaria,,areolata,IWP,,,Ekman,1918,1918a,Havelockia,,versicolor,,,,yes,no,unaccepted,,no,,,,,"James, 1976a",,,pdf,yes,,,35-38,"pl 2, fig 4-5; pl 3, fig 28; pl 4, fig 27, 29-31",45 nautical mi WSW of Cap Jaubert,18,21,meters,syntypes,,,,,,,,,,,,,,"Ekan, 1918",,
1705,yes,Dendrochirotida,Sclerodactylidae,,Neopentamera,,anexigua,EP,,,Deichmann,1941,1941a,Neopentamera,,anexigua,,,,yes,yes,accepted,,yes,,,,Solís-Marín et al 2009,,,,original,yes,,,90-91,"pl 13, fig 11-14","Mexico, Baja California, outside of Concepcion Bay, Velero III Staion 683-37",12,,fathoms,holotype,,,,,,,,,,,,,,"Deichmann, 1941",,
1265,no,Dendrochirotida,Sclerodactylidae,,Cucumaria,,argillacea,WA,,,Sluiter,1910,1910a,Neothyone,,belli,,,,yes,no,unaccepted,,no,,,,,"Deichmann, 1954a",,,pdf,yes,,arguillacea in Smiley,336,fig B a-c,"Tortugas, SW Channel",12,,faden,holotype,,,,,,,,,,,,,,"Sluiter, 1910",,
296,yes,Dendrochirotida,Sclerodactylidae,,Stolus,,gibber,EP,,,Selenka,1867,1867a,Neothyone,,gibber,,,,yes,yes,accepted,,yes,,,,Alvarado et al 2010,,"Deichmann, 1941",,xerox,yes,,,356,,Panama,,,,syntypes,,,,MCZ,syntype,237,,,,,,,,"Selenka, 1867",,
777,no,Dendrochirotida,Sclerodactylidae,,Thyone,,similis,EP,,,Ludwig,1887,1887b,Neothyone,,gibber,,,,yes,no,unaccepted,,no,,,,,"Deichmann, 1941",,,pdf,yes,,,23,"pl 2, fig 7","Gulf of Panama, coast of islands",,,,syntypes,,,,,,,,,,,,,,,,
1706,yes,Dendrochirotida,Sclerodactylidae,,Neothyone,,gibbosa,EP,,,Deichmann,1941,1941a,Neothyone,,gibbosa,,,,yes,yes,accepted,,yes,,,,Alvarado et al 2010,,,,original,yes,,,113-114,"pl 21, fig 7-11; pl 22 fig 1-8","Gulf of California, Angel de la Guardia Island, Puerto Refugio, Station 545-36",,,,holotype,,,,,,,,,,,,,,"Deichmann, 1941",,
776,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,panamensis,EP,,,Ludwig,1887,1887b,Neothyone,,panamensis,,,,yes,yes,accepted,,yes,,,,Alvarado et al 2010,,,,pdf,yes,,,22-23,,"Gulf of Panama, coast of islands",,,,holotype,,,,,,,,,,,,,,"Ludwig, 1887",,
2064,yes,Dendrochirotida,Sclerodactylidae,,Ohshimella,,castanea,IWP,,,Cherbonnier,1980,1980a,Ohshimella,,castanea,,,,yes,yes,accepted,,,,,,post 1980,,,,RP,yes,,,659-660,"fig 21 a-l; pl 1, d",Isle Amere,30,,meters,holotype,,,,,,,,,,,,,,"Cherbonnier, 1980",,
370,yes,Dendrochirotida,Sclerodactylidae,,Urodemas,,Ehrenbergii,IWP,,,Selenka,1868,1868a,Ohshimella,,ehrenbergii,,,,yes,yes,accepted,,,,,,"Thandar 2006a, Heding & Panning, 1954",,"Heding & Panning, 1954",,xerox & pdf,yes,,,114,fig 6-8,Rothen Meere,,,,syntypes,Berliner Museums,,,,,,,,,,,,,"Selenka, 1868",,
371,no,Dendrochirotida,Sclerodactylidae,,Urodemas,,gracile,IWP,,,Selenka,1868,1868a,Ohshimella,,ehrenbergii,,,,yes,no,unaccepted,,no,,,,,"Heding & Panning, 1954",,,xerox & pdf,yes,"synonymy w/ ? In Thandar 2006a; Thandar 1984: 112 suggests not synonym according to Massing; , as does Massin in litt",,114-115,fig 9-10,Rothen Meere,,,,holotype,Berliner Museum,,,,,,,,,,,,,"Selenka, 1867",,
479,no,Dendrochirotida,Sclerodactylidae,,Phyllophorus,,Frauenfeldi,IWP,,,Ludwig,1875,1875a,Ohshimella,,ehrenbergii,,,,yes,no,unaccepted,,no,,,,,"Heding & Panning, 1954",,,"pdf, xerox",yes,,,95-96,fig 22,Red Sea,,,,syntypes,,,,,,,,,,,,,,"Ludwig, 1874",,
1310,no,Dendrochirotida,Sclerodactylidae,,Orcula,,torense,IWP,,,Helfer,1913,1913a,Ohshimella,,ehrenbergii,,,,yes,no,unaccepted,,no,,,,,"Heding & Panning, 1954",,,pdf,yes,spelled with one 'r',,435-439,figs - check German,"Tor (Sinaiküste), Innenzone",,,,,,,,,,,,,,,,,,"Helfer, 1913",,
1815,yes,Dendrochirotida,Sclerodactylidae,,Ohshimella,,mauritiensis,IWP,,,Heding & Panning,1954,1954a,Ohshimella,,mauritiensis,,,,yes,yes,accepted,,,,,,,,,,xerox,yes,,,137-138,fig 60,"Ilots marianne, near Mahébourg, S.O. Mauritius",,,,syntypes,,,,,,,,,,,,,,"Heding & Panning, 1954",,
2204,yes,Dendrochirotida,Sclerodactylidae,,Ohshimella,,nhatragensis,IWP,,,Levin & Dao Tan Ho,1989,1989a,Ohshimella,,nhatragensis,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,58-59,fig. 2,"Phukhanh Province, S Vietnam; see paper for details",,,,holotype,No 1/58003,,,,,,,,,,,,,,,
2178,yes,Dendrochirotida,Sclerodactylidae,,Phyllophorus,Urodemella,oculus,IWP,,,Cherbonnier,1988,1988a,Ohshimella,,ocula,,,,yes,yes,accepted,,yes,,,,,,"Thandar, 2007a",,"pdf, scan",yes,,,222-224,fig 97 a-h,Mozambique Channel,,,,holotype,MNHN,,,,,,,,,,,,,,,
1671,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,lugubris,EP,,,Deichmann,1939,1939a,Pachythyone,,lugubris,,,,yes,yes,accepted,,yes,,,,Solís-Marín et al 2009,,Solís-Marín et al 2009,,pdf,yes,,viviparous,1-6,figs. 1-3,"Magdalena Bay, west coast of Lower California; inside the northern point of the entrance to the bay, between Belcher Point and the anchorage",10,15,m,,USNM,E5624,,,,,,,,,,,,"Deichmann, 1939",,
1707,yes,Dendrochirotida,Sclerodactylidae,,Pachythyone,,pseudolugubris,EP,,,Deichmann,1941,1941a,Pachythyone,,pseudolugubris,,,,yes,yes,accepted,,yes,,,,Solís-Marín et al 2009,,,,original,yes,,,116-117,"pl 22, fig 9-10; pl 23, fig 1-6; text fig 6","Mexico, Sinaloa, near Point Piaxtla, Station 744-37",,,,,,,,,,,,,,,,,,"Deichmann, 1941",,
955,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,rubra,EP-N,,,Clark,1901,1901a,Pachythyone,,rubra,,,,yes,yes,accepted,,yes,,,,,,,,pdf,yes,,,166-167,fig 1-5,"Monterey Bay, California, near shore",,,,,,,,MCZ,syntype,244,,,,,,,,"Clark, 1901",,
775,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,belli,WA,,,Ludwig,1887,1887b,Pseudothyone,,belli,,Deichmann 1954a considers this to be in Neothyone,,yes,yes,accepted,,yes,,,,Pawson et al 2009a,,"Panning 1949a, Pawson & Miller 1981a",,pdf,yes,,“Panning (1949) transferred this species to Pseudothyone. Deichmann (1954) referred it to her (1941) genus Neothyone. Panning's action appears to be the more logical.” Pawson & Miller 1981a,21-22,"pl 1, fig 6",W of Abrolhos Reef [Brazil],,,,holotype,,,,,,,,,,,,,,"Ludwig, 1887",,
1269,no,Dendrochirotida,Sclerodactylidae,,Thyone,,micropunctata,WA,,,Sluiter,1910,1910a,Pseudothyone,,belli,,,,yes,no,unaccepted,,no,,,,,"Deichmann, 1954a",,,pdf,yes,,,338-339,fig D a-c,"Tortugas, SW Channel",12,,faden,syntypes,,,,,,,,,,,,,,"Sluiter, 1910",,
1953,yes,Dendrochirotida,Sclerodactylidae,,Pseudothyone,,furnestini,EA-N,,,Cherbonnier,1969,1969a,Pseudothyone,,furnestini,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,353-355,"fig 3, a-n","Station 487, West Galicia, 43°40'8""N 08°52'9""W",750,,meters,holotype,,,,,,,,,,,,,,"Cherbonnier, 1969",,
2302,yes,Dendrochirotida,Sclerodactylidae,,Pseudothyone,,levini,EP-N,,,Lambert & Oliver,2001,2001a,Pseudothyone,,levini,,,,yes,yes,accepted,,,,,,post 2000,,,,pdf,yes,,,590-596,figs. 1-3,"Washington, Tacoma, Point Defiance, 47o18.4'N, 122o30.8'W, muddy sand",12,,m,holotype,RBCM,RBCM 999-475-1,,,,,,,,,,,,,,
1260,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,mosaïca,IWP,,,Koehler & Vaney,1910,1910a,Pseudothyone,,mosaica,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,98-99,"pl ii, fig 1-5","Station 292, 26°20'N 53°54'E",53,,fathoms,holotype,,,,,,,,,,,,,,"Koehler & Vaney, 1910",,
172,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,Raphanus,EA,,,Düben & Koren,1846,1846a,Pseudothyone,,raphanus,,,,yes,yes,accepted,,,,,,Madsen & Hansen 1994a,,Panning 1949,,pdf,yes,,,311-312,"pl XI, fig 58-59; pl V, fig 49-55",Bergen & Christiansund,40,50,,specimen (presumed lost) figured in plate XI: Fig. 58 designated as lectotype by Madsen & Hansen 1994a,,,,,,,,,,,,,,"Düben & Koren, 1844",,
565,no,Dendrochirotida,Sclerodactylidae,,Thyone,,Poucheti,EA-N,,,Barrois,1882,1882a,Pseudothyone,,raphanus,,,,yes,no,unaccepted,,no,,,,,"McKenzie, 1991",,,pdf,yes,,,53-55,"pl 1, fig 1-7","Concarneau, France",50,,meters,holotype,,,,,,,,,,,,,,"Barrois, 1882",,
1850,yes,Dendrochirotida,Sclerodactylidae,,Pseudothyone,,sculponea,EA-Med,,,Cherbonnier,1958,1958g,Pseudothyone,,sculponea,,,,yes,yes,accepted,,,,,,Tortonese 1980a,,,,pdf,yes,,,62-66,fig 1 a-o; fig 2 a-i,"Banyuls, sable coquillier et gravier en bordure du plateau continental",,,,holotype,,,,,,,,,,,,,,"Cherbonnier, 1959",,
921,yes,Dendrochirotida,Sclerodactylidae,,Thyone,,serrifera,EA-N,,,Östergren,1898,1898a,Pseudothyone,,serrifera,,,,yes,yes,accepted,,yes,,,,Madsen & Hansen 1994a,,Madsen & Hansen 1994a,,pdf,yes,,,133-134,,"Norway, Trondhjemsfjord, Rödberg",,,,syntypes,"Zoological Museum, Uppsala",,type location from Madsen & Hansen 1994a,,,,,,,,,,,"Östergren, 9999",,
46,yes,Dendrochirotida,Sclerodactylidae,,Holothuria,,briareus,WA,,,Lesueur,1824,1824a,Sclerodactyla,,briareus,,,,yes,yes,accepted,,yes,,,,Pawson et al 2009a,,"Ayres, 1851a",,pdf,yes,,,161-162,none,US coast,,,,,,,,MCZ,holotype,254,,,,,,,,,,
173,no,Dendrochirotida,Sclerodactylidae,,Anaperus,,carolinus,WA-N,,,Troschel,1846,1846a,Sclerodactyla,,briareus,,,,yes,no,unaccepted,,no,,,,,Deichmann 1930,,,pdf,yes,"“Troschel's Anaperus carolinus, which he records from both Peru and South Carolina, is undoubtedly in the first case one of the soft-skinned species of Thyone from the Pacific Ocean, in the other simply Th. briareus.”  Deichmann 1930",,62,,Südcarolina,,,,,"Zoological Museum, Berlin (likely not there - see Hansen & McKenzie, 1991a)",,,,,,,,,,,,,,,
305,no,Dendrochirotida,Sclerodactylidae,,Thyone,,tenella,WA-N,,,Selenka,1867,1867a,Sclerodactyla,,briareus,,,,yes,no,unaccepted,,no,,,,,Deichmann 1930a,,,xerox,yes,,,354,"pl 20, fig 113-114",Texas,,,,holotype,,,,,,,,,,,,,,"Selenka, 1867",,
695,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria,,multipes,WP-N,,,Théel,1886,1886a,Sclerodactyla,,multipes,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,72-73,"pl IV, fig 4",Yokohama,8,10,fathoms,holotype,,,,,,,,,,,,,,"Théel, 1886a",,
2399,yes,Dendrochirotida,Sclerodactylidae,,Sclerothyone,,unicolumnus,SAfr,,,Thandar,2008,2008a,Sclerothyone,,unicolumnus,,,,yes,yes,accepted,,,,,,post 2000,,,,pdf,yes,,,15-16,fig. 7,"UCT Ecol. Surv., off Mossel Bay, St. SCD 150, 34o 59' S, 22o 18' E",106,,m,holotype,SAM,SAM A27987,"+2 paratypes, same data",,,,,,,,,,,,,
1596,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria?,,velligera,SAfr,,,Ludwig & Heding,1935,1935a,Sclerothyone,,velligera,,,,yes,yes,accepted,,yes,,,,"Thandar 1989b, 2006a",,Thandar 1989b,,xerox,yes,,,190-192,textfig 49-50,"Cape of Good Hope, 34°33'S, 18°21'E, Station 113",318,365,m,syntypes,"""Perhaps in Bonn, Germany"" - Thandar 2008",,,,,,,,,,,,,"Ludwig & Heding, 1935",,
1595,yes,Dendrochirotida,Sclerodactylidae,,Cucumaria?,,chuni,SAfr,,,Ludwig & Heding,1935,1935a,Temparena,,chuni,,,,yes,yes,accepted,,yes,,,,Thandar 1989b,,Thandar 1989b,,xerox,yes,,,192-193,"pl II, fig 1-7; textfig 51-52","Cape of Good Hope, 34°33'S, 18°21'E, Station 113",318,,meters,holotype,,,,,,,,,,,,,,"Ludwig & Heding, 1935",,
